Area,Grouped total personal income,Ethnic group,Sex,Value,Flags
"Manawatu-Wanganui Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",9273,
"Manawatu-Wanganui Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",35160,
"Manawatu-Wanganui Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",25620,
"Manawatu-Wanganui Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",35415,
"Manawatu-Wanganui Region","$50,001 or more","Total people, ethnic group","Total people, sex",33330,
"Manawatu-Wanganui Region","Total people stated","Total people, ethnic group","Total people, sex",160131,
"Wellington Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",379308,
"Wellington Region","$5,000 or less","Total people, ethnic group","Total people, sex",47616,
"Wellington Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",18198,
"Wellington Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",55650,
"Wellington Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",43068,
"Wellington Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",69978,
"Wellington Region","$50,001 or more","Total people, ethnic group","Total people, sex",113982,
"Wellington Region","Total people stated","Total people, ethnic group","Total people, sex",348498,
"Tasman Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",37725,
"Tasman Region","$5,000 or less","Total people, ethnic group","Total people, sex",4236,
"Tasman Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",1884,
"Tasman Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",7659,
"Tasman Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",6096,
"Tasman Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",7878,
"Tasman Region","$50,001 or more","Total people, ethnic group","Total people, sex",7314,
"Tasman Region","Total people stated","Total people, ethnic group","Total people, sex",35067,
"Nelson Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",37692,
"Nelson Region","$5,000 or less","Total people, ethnic group","Total people, sex",4068,
"Nelson Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",1713,
"Nelson Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",7260,
"Nelson Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",5898,
"Nelson Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",8199,
"Nelson Region","$50,001 or more","Total people, ethnic group","Total people, sex",7794,
"Nelson Region","Total people stated","Total people, ethnic group","Total people, sex",34929,
"Marlborough Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",35664,
"Marlborough Region","$5,000 or less","Total people, ethnic group","Total people, sex",3456,
"Marlborough Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",1527,
"Marlborough Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",6732,
"Marlborough Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",5667,
"Marlborough Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",7758,
"Marlborough Region","$50,001 or more","Total people, ethnic group","Total people, sex",7404,
"Marlborough Region","Total people stated","Total people, ethnic group","Total people, sex",32547,
"West Coast Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",26001,
"West Coast Region","$5,000 or less","Total people, ethnic group","Total people, sex",2586,
"West Coast Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",1248,
"West Coast Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",5298,
"West Coast Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",3411,
"West Coast Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",4839,
"West Coast Region","$50,001 or more","Total people, ethnic group","Total people, sex",5844,
"West Coast Region","Total people stated","Total people, ethnic group","Total people, sex",23226,
"Canterbury Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",438741,
"Canterbury Region","$5,000 or less","Total people, ethnic group","Total people, sex",48678,
"Canterbury Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",20874,
"Canterbury Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",74943,
"Canterbury Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",57204,
"Canterbury Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",92214,
"Canterbury Region","$50,001 or more","Total people, ethnic group","Total people, sex",109983,
"Canterbury Region","Total people stated","Total people, ethnic group","Total people, sex",403893,
"Otago Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",167556,
"Otago Region","$5,000 or less","Total people, ethnic group","Total people, sex",21873,
"Otago Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",9960,
"Otago Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",29871,
"Otago Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",22605,
"Otago Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",33768,
"Otago Region","$50,001 or more","Total people, ethnic group","Total people, sex",35412,
"Otago Region","Total people stated","Total people, ethnic group","Total people, sex",153489,
"Southland Region","Total people, grouped total personal income","Total people, ethnic group","Total people, sex",74145,
"Southland Region","$5,000 or less","Total people, ethnic group","Total people, sex",7413,
"Southland Region","$5,001 - $10,000","Total people, ethnic group","Total people, sex",3237,
"Southland Region","$10,001 - $20,000","Total people, ethnic group","Total people, sex",12996,
"Southland Region","$20,001 - $30,000","Total people, ethnic group","Total people, sex",10857,
"Southland Region","$30,001 - $50,000","Total people, ethnic group","Total people, sex",16335,
"Southland Region","$50,001 or more","Total people, ethnic group","Total people, sex",17112,
"Southland Region","Total people stated","Total people, ethnic group","Total people, sex",67953,
