,AREA # 01,Banteay Meanchey,,,,,,
,,,,,,,,
,Age in 5 year groups,Sex ,,,,,,
,,Male,Female,Total,,,,
, 35 - 39 yrs,321763,348894,670657,,,,
, 40 - 44 yrs,272090,319812,591902,,,,
, 45 - 49 yrs,237067,286880,523947,,,,
, 50 - 54 yrs,151477,235427,386904,,,,
, 55 - 59 yrs,128570,184687,313257,,,,
, 60 - 64 yrs,95006,131369,226375,,,,
, 65 - 69 yrs,75932,105210,181142,,,,
, 70 - 74 yrs,54095,79229,133324,,,,
, 75 - 79 yrs,36599,54549,91148,,,,
, 80+ yrs,27938,44715,72653,,,,
, Total,5260484,5521171,10781655,,,,
,,,,,,,,
NIS - General Population Census 2008,,,,,,,,
Processed with Redatam+SP,,,,,,,,
UNECLAC/CELADE 2010-2015,,,,,,,,
,,,,,,,,
