Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Kaikoura district","0-4 years","Total people, ethnic group","Female","1996",140,
"Buller district","0-4 years","Total people, ethnic group","Male","1996",470,
"Buller district","0-4 years","Total people, ethnic group","Female","1996",400,
"Grey district","0-4 years","Total people, ethnic group","Male","1996",570,
"Grey district","0-4 years","Total people, ethnic group","Female","1996",580,
"Westland district","0-4 years","Total people, ethnic group","Male","1996",360,
"Westland district","0-4 years","Total people, ethnic group","Female","1996",320,
"Hurunui district","0-4 years","Total people, ethnic group","Male","1996",380,
"Hurunui district","0-4 years","Total people, ethnic group","Female","1996",380,
"Waimakariri district","0-4 years","Total people, ethnic group","Male","1996",1290,
"Waimakariri district","0-4 years","Total people, ethnic group","Female","1996",1280,
"Christchurch city","0-4 years","Total people, ethnic group","Male","1996",11150,
"Christchurch city","0-4 years","Total people, ethnic group","Female","1996",10510,
"Selwyn district","0-4 years","Total people, ethnic group","Male","1996",960,
"Selwyn district","0-4 years","Total people, ethnic group","Female","1996",920,
"Ashburton district","0-4 years","Total people, ethnic group","Male","1996",900,
"Ashburton district","0-4 years","Total people, ethnic group","Female","1996",860,
"Timaru district","0-4 years","Total people, ethnic group","Male","1996",1530,
"Timaru district","0-4 years","Total people, ethnic group","Female","1996",1420,
"Mackenzie district","0-4 years","Total people, ethnic group","Male","1996",170,
"Mackenzie district","0-4 years","Total people, ethnic group","Female","1996",160,
"Waimate district","0-4 years","Total people, ethnic group","Male","1996",330,
"Waimate district","0-4 years","Total people, ethnic group","Female","1996",260,
"Chatham Islands territory","0-4 years","Total people, ethnic group","Male","1996",45,
"Chatham Islands territory","0-4 years","Total people, ethnic group","Female","1996",35,
"Waitaki district","0-4 years","Total people, ethnic group","Male","1996",750,
"Waitaki district","0-4 years","Total people, ethnic group","Female","1996",750,
"Central Otago district","0-4 years","Total people, ethnic group","Male","1996",550,
"Central Otago district","0-4 years","Total people, ethnic group","Female","1996",510,
"Queenstown-Lakes district","0-4 years","Total people, ethnic group","Male","1996",530,
"Queenstown-Lakes district","0-4 years","Total people, ethnic group","Female","1996",470,
"Dunedin city","0-4 years","Total people, ethnic group","Male","1996",3910,
"Dunedin city","0-4 years","Total people, ethnic group","Female","1996",3640,
"Clutha district","0-4 years","Total people, ethnic group","Male","1996",770,
"Clutha district","0-4 years","Total people, ethnic group","Female","1996",740,
"Southland district","0-4 years","Total people, ethnic group","Male","1996",1350,
"Southland district","0-4 years","Total people, ethnic group","Female","1996",1160,
"Gore district","0-4 years","Total people, ethnic group","Male","1996",540,
"Gore district","0-4 years","Total people, ethnic group","Female","1996",500,
"Invercargill city","0-4 years","Total people, ethnic group","Male","1996",2140,
"Invercargill city","0-4 years","Total people, ethnic group","Female","1996",1900,
"Area outside territorial authority","0-4 years","Total people, ethnic group","Male","1996",5,
"Area outside territorial authority","0-4 years","Total people, ethnic group","Female","1996",5,
"Far North district","5-9 years","Total people, ethnic group","Male","1996",2780,
"Far North district","5-9 years","Total people, ethnic group","Female","1996",2550,
"Whangarei district","5-9 years","Total people, ethnic group","Male","1996",3190,
"Whangarei district","5-9 years","Total people, ethnic group","Female","1996",2950,
"Kaipara district","5-9 years","Total people, ethnic group","Male","1996",840,
"Kaipara district","5-9 years","Total people, ethnic group","Female","1996",830,
"Auckland","5-9 years","Total people, ethnic group","Male","1996",44870,
"Auckland","5-9 years","Total people, ethnic group","Female","1996",42560,
"Thames-Coromandel district","5-9 years","Total people, ethnic group","Male","1996",960,
"Thames-Coromandel district","5-9 years","Total people, ethnic group","Female","1996",880,
"Hauraki district","5-9 years","Total people, ethnic group","Male","1996",890,
"Hauraki district","5-9 years","Total people, ethnic group","Female","1996",850,
"Waikato district","5-9 years","Total people, ethnic group","Male","1996",2550,
"Waikato district","5-9 years","Total people, ethnic group","Female","1996",2440,
"Matamata-Piako district","5-9 years","Total people, ethnic group","Male","1996",1340,
"Matamata-Piako district","5-9 years","Total people, ethnic group","Female","1996",1320,
"Hamilton city","5-9 years","Total people, ethnic group","Male","1996",4290,
"Hamilton city","5-9 years","Total people, ethnic group","Female","1996",4230,
"Waipa district","5-9 years","Total people, ethnic group","Male","1996",1730,
"Waipa district","5-9 years","Total people, ethnic group","Female","1996",1610,
"Otorohanga district","5-9 years","Total people, ethnic group","Male","1996",460,
"Otorohanga district","5-9 years","Total people, ethnic group","Female","1996",450,
"South Waikato district","5-9 years","Total people, ethnic group","Male","1996",1320,
"South Waikato district","5-9 years","Total people, ethnic group","Female","1996",1350,
"Waitomo district","5-9 years","Total people, ethnic group","Male","1996",450,
"Waitomo district","5-9 years","Total people, ethnic group","Female","1996",460,
"Taupo district","5-9 years","Total people, ethnic group","Male","1996",1440,
"Taupo district","5-9 years","Total people, ethnic group","Female","1996",1370,
"Western Bay of Plenty district","5-9 years","Total people, ethnic group","Male","1996",1500,
"Western Bay of Plenty district","5-9 years","Total people, ethnic group","Female","1996",1520,
"Tauranga city","5-9 years","Total people, ethnic group","Male","1996",3020,
"Tauranga city","5-9 years","Total people, ethnic group","Female","1996",2870,
"Rotorua district","5-9 years","Total people, ethnic group","Male","1996",3150,
"Rotorua district","5-9 years","Total people, ethnic group","Female","1996",3000,
"Whakatane district","5-9 years","Total people, ethnic group","Male","1996",1690,
"Whakatane district","5-9 years","Total people, ethnic group","Female","1996",1600,
"Kawerau district","5-9 years","Total people, ethnic group","Male","1996",510,
"Kawerau district","5-9 years","Total people, ethnic group","Female","1996",450,
"Opotiki district","5-9 years","Total people, ethnic group","Male","1996",540,
"Opotiki district","5-9 years","Total people, ethnic group","Female","1996",480,
"Gisborne district","5-9 years","Total people, ethnic group","Male","1996",2360,
"Gisborne district","5-9 years","Total people, ethnic group","Female","1996",2230,
"Wairoa district","5-9 years","Total people, ethnic group","Male","1996",490,
"Wairoa district","5-9 years","Total people, ethnic group","Female","1996",530,
"Hastings district","5-9 years","Total people, ethnic group","Male","1996",3070,
"Hastings district","5-9 years","Total people, ethnic group","Female","1996",2990,
"Napier city","5-9 years","Total people, ethnic group","Male","1996",2130,
"Napier city","5-9 years","Total people, ethnic group","Female","1996",2040,
"Central Hawke's Bay district","5-9 years","Total people, ethnic group","Male","1996",610,
"Central Hawke's Bay district","5-9 years","Total people, ethnic group","Female","1996",610,
"New Plymouth district","5-9 years","Total people, ethnic group","Male","1996",2970,
"New Plymouth district","5-9 years","Total people, ethnic group","Female","1996",2750,
"Stratford district","5-9 years","Total people, ethnic group","Male","1996",450,
"Stratford district","5-9 years","Total people, ethnic group","Female","1996",470,
"South Taranaki district","5-9 years","Total people, ethnic group","Male","1996",1420,
"South Taranaki district","5-9 years","Total people, ethnic group","Female","1996",1380,
"Ruapehu district","5-9 years","Total people, ethnic group","Male","1996",970,
"Ruapehu district","5-9 years","Total people, ethnic group","Female","1996",770,
"Wanganui district","5-9 years","Total people, ethnic group","Male","1996",1950,
"Wanganui district","5-9 years","Total people, ethnic group","Female","1996",1820,
"Rangitikei district","5-9 years","Total people, ethnic group","Male","1996",820,
"Rangitikei district","5-9 years","Total people, ethnic group","Female","1996",810,
"Manawatu district","5-9 years","Total people, ethnic group","Male","1996",1220,
"Manawatu district","5-9 years","Total people, ethnic group","Female","1996",1120,
"Palmerston North city","5-9 years","Total people, ethnic group","Male","1996",2690,
"Palmerston North city","5-9 years","Total people, ethnic group","Female","1996",2770,
"Tararua district","5-9 years","Total people, ethnic group","Male","1996",910,
"Tararua district","5-9 years","Total people, ethnic group","Female","1996",880,
"Horowhenua district","5-9 years","Total people, ethnic group","Male","1996",1290,
"Horowhenua district","5-9 years","Total people, ethnic group","Female","1996",1250,
"Kapiti Coast district","5-9 years","Total people, ethnic group","Male","1996",1620,
"Kapiti Coast district","5-9 years","Total people, ethnic group","Female","1996",1540,
"Porirua city","5-9 years","Total people, ethnic group","Male","1996",2500,
"Porirua city","5-9 years","Total people, ethnic group","Female","1996",2270,
"Upper Hutt city","5-9 years","Total people, ethnic group","Male","1996",1560,
"Upper Hutt city","5-9 years","Total people, ethnic group","Female","1996",1450,
"Lower Hutt city","5-9 years","Total people, ethnic group","Male","1996",4190,
"Lower Hutt city","5-9 years","Total people, ethnic group","Female","1996",4000,
"Wellington city","5-9 years","Total people, ethnic group","Male","1996",5210,
"Wellington city","5-9 years","Total people, ethnic group","Female","1996",4940,
"Masterton district","5-9 years","Total people, ethnic group","Male","1996",960,
"Masterton district","5-9 years","Total people, ethnic group","Female","1996",950,
"Carterton district","5-9 years","Total people, ethnic group","Male","1996",300,
"Carterton district","5-9 years","Total people, ethnic group","Female","1996",320,
"South Wairarapa district","5-9 years","Total people, ethnic group","Male","1996",410,
"South Wairarapa district","5-9 years","Total people, ethnic group","Female","1996",380,
"Tasman district","5-9 years","Total people, ethnic group","Male","1996",1630,
"Tasman district","5-9 years","Total people, ethnic group","Female","1996",1560,
"Nelson city","5-9 years","Total people, ethnic group","Male","1996",1520,
"Nelson city","5-9 years","Total people, ethnic group","Female","1996",1450,
"Marlborough district","5-9 years","Total people, ethnic group","Male","1996",1550,
"Marlborough district","5-9 years","Total people, ethnic group","Female","1996",1450,
"Kaikoura district","5-9 years","Total people, ethnic group","Male","1996",150,
"Kaikoura district","5-9 years","Total people, ethnic group","Female","1996",140,
"Buller district","5-9 years","Total people, ethnic group","Male","1996",470,
"Buller district","5-9 years","Total people, ethnic group","Female","1996",460,
"Grey district","5-9 years","Total people, ethnic group","Male","1996",610,
"Grey district","5-9 years","Total people, ethnic group","Female","1996",560,
"Westland district","5-9 years","Total people, ethnic group","Male","1996",340,
"Westland district","5-9 years","Total people, ethnic group","Female","1996",320,
"Hurunui district","5-9 years","Total people, ethnic group","Male","1996",430,
"Hurunui district","5-9 years","Total people, ethnic group","Female","1996",400,
"Waimakariri district","5-9 years","Total people, ethnic group","Male","1996",1330,
"Waimakariri district","5-9 years","Total people, ethnic group","Female","1996",1210,
"Christchurch city","5-9 years","Total people, ethnic group","Male","1996",11030,
"Christchurch city","5-9 years","Total people, ethnic group","Female","1996",10470,
"Selwyn district","5-9 years","Total people, ethnic group","Male","1996",1060,
"Selwyn district","5-9 years","Total people, ethnic group","Female","1996",960,
"Ashburton district","5-9 years","Total people, ethnic group","Male","1996",1030,
"Ashburton district","5-9 years","Total people, ethnic group","Female","1996",910,
"Timaru district","5-9 years","Total people, ethnic group","Male","1996",1650,
"Timaru district","5-9 years","Total people, ethnic group","Female","1996",1560,
"Mackenzie district","5-9 years","Total people, ethnic group","Male","1996",180,
"Mackenzie district","5-9 years","Total people, ethnic group","Female","1996",160,
"Waimate district","5-9 years","Total people, ethnic group","Male","1996",330,
"Waimate district","5-9 years","Total people, ethnic group","Female","1996",310,
"Chatham Islands territory","5-9 years","Total people, ethnic group","Male","1996",40,
"Chatham Islands territory","5-9 years","Total people, ethnic group","Female","1996",25,
"Waitaki district","5-9 years","Total people, ethnic group","Male","1996",830,
"Waitaki district","5-9 years","Total people, ethnic group","Female","1996",750,
"Central Otago district","5-9 years","Total people, ethnic group","Male","1996",570,
"Central Otago district","5-9 years","Total people, ethnic group","Female","1996",560,
"Queenstown-Lakes district","5-9 years","Total people, ethnic group","Male","1996",440,
"Queenstown-Lakes district","5-9 years","Total people, ethnic group","Female","1996",450,
"Dunedin city","5-9 years","Total people, ethnic group","Male","1996",4000,
"Dunedin city","5-9 years","Total people, ethnic group","Female","1996",3770,
"Clutha district","5-9 years","Total people, ethnic group","Male","1996",780,
"Clutha district","5-9 years","Total people, ethnic group","Female","1996",680,
"Southland district","5-9 years","Total people, ethnic group","Male","1996",1390,
