Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Timaru district","25-29 years","Total people, ethnic group","Female","1996",1360,
"Mackenzie district","25-29 years","Total people, ethnic group","Male","1996",170,
"Mackenzie district","25-29 years","Total people, ethnic group","Female","1996",150,
"Waimate district","25-29 years","Total people, ethnic group","Male","1996",180,
"Waimate district","25-29 years","Total people, ethnic group","Female","1996",190,
"Chatham Islands territory","25-29 years","Total people, ethnic group","Male","1996",45,
"Chatham Islands territory","25-29 years","Total people, ethnic group","Female","1996",30,
"Waitaki district","25-29 years","Total people, ethnic group","Male","1996",580,
"Waitaki district","25-29 years","Total people, ethnic group","Female","1996",600,
"Central Otago district","25-29 years","Total people, ethnic group","Male","1996",450,
"Central Otago district","25-29 years","Total people, ethnic group","Female","1996",440,
"Queenstown-Lakes district","25-29 years","Total people, ethnic group","Male","1996",830,
"Queenstown-Lakes district","25-29 years","Total people, ethnic group","Female","1996",820,
"Dunedin city","25-29 years","Total people, ethnic group","Male","1996",4300,
"Dunedin city","25-29 years","Total people, ethnic group","Female","1996",4460,
"Clutha district","25-29 years","Total people, ethnic group","Male","1996",600,
"Clutha district","25-29 years","Total people, ethnic group","Female","1996",580,
"Southland district","25-29 years","Total people, ethnic group","Male","1996",1010,
"Southland district","25-29 years","Total people, ethnic group","Female","1996",980,
"Gore district","25-29 years","Total people, ethnic group","Male","1996",420,
"Gore district","25-29 years","Total people, ethnic group","Female","1996",430,
"Invercargill city","25-29 years","Total people, ethnic group","Male","1996",1910,
"Invercargill city","25-29 years","Total people, ethnic group","Female","1996",2030,
"Area outside territorial authority","25-29 years","Total people, ethnic group","Male","1996",20,
"Area outside territorial authority","25-29 years","Total people, ethnic group","Female","1996",10,
"Far North district","30-34 years","Total people, ethnic group","Male","1996",1830,
"Far North district","30-34 years","Total people, ethnic group","Female","1996",2080,
"Whangarei district","30-34 years","Total people, ethnic group","Male","1996",2350,
"Whangarei district","30-34 years","Total people, ethnic group","Female","1996",2610,
"Kaipara district","30-34 years","Total people, ethnic group","Male","1996",640,
"Kaipara district","30-34 years","Total people, ethnic group","Female","1996",660,
"Auckland","30-34 years","Total people, ethnic group","Male","1996",48330,
"Auckland","30-34 years","Total people, ethnic group","Female","1996",49980,
"Thames-Coromandel district","30-34 years","Total people, ethnic group","Male","1996",750,
"Thames-Coromandel district","30-34 years","Total people, ethnic group","Female","1996",820,
"Hauraki district","30-34 years","Total people, ethnic group","Male","1996",650,
"Hauraki district","30-34 years","Total people, ethnic group","Female","1996",700,
"Waikato district","30-34 years","Total people, ethnic group","Male","1996",1920,
"Waikato district","30-34 years","Total people, ethnic group","Female","1996",2110,
"Matamata-Piako district","30-34 years","Total people, ethnic group","Male","1996",1170,
"Matamata-Piako district","30-34 years","Total people, ethnic group","Female","1996",1220,
"Hamilton city","30-34 years","Total people, ethnic group","Male","1996",4290,
"Hamilton city","30-34 years","Total people, ethnic group","Female","1996",4440,
"Waipa district","30-34 years","Total people, ethnic group","Male","1996",1420,
"Waipa district","30-34 years","Total people, ethnic group","Female","1996",1520,
"Otorohanga district","30-34 years","Total people, ethnic group","Male","1996",430,
"Otorohanga district","30-34 years","Total people, ethnic group","Female","1996",380,
"South Waikato district","30-34 years","Total people, ethnic group","Male","1996",990,
"South Waikato district","30-34 years","Total people, ethnic group","Female","1996",1050,
"Waitomo district","30-34 years","Total people, ethnic group","Male","1996",380,
"Waitomo district","30-34 years","Total people, ethnic group","Female","1996",410,
"Taupo district","30-34 years","Total people, ethnic group","Male","1996",1230,
"Taupo district","30-34 years","Total people, ethnic group","Female","1996",1250,
"Western Bay of Plenty district","30-34 years","Total people, ethnic group","Male","1996",1180,
"Western Bay of Plenty district","30-34 years","Total people, ethnic group","Female","1996",1270,
"Tauranga city","30-34 years","Total people, ethnic group","Male","1996",2880,
"Tauranga city","30-34 years","Total people, ethnic group","Female","1996",3060,
"Rotorua district","30-34 years","Total people, ethnic group","Male","1996",2450,
"Rotorua district","30-34 years","Total people, ethnic group","Female","1996",2850,
"Whakatane district","30-34 years","Total people, ethnic group","Male","1996",1190,
"Whakatane district","30-34 years","Total people, ethnic group","Female","1996",1380,
"Kawerau district","30-34 years","Total people, ethnic group","Male","1996",330,
"Kawerau district","30-34 years","Total people, ethnic group","Female","1996",330,
"Opotiki district","30-34 years","Total people, ethnic group","Male","1996",340,
"Opotiki district","30-34 years","Total people, ethnic group","Female","1996",350,
"Gisborne district","30-34 years","Total people, ethnic group","Male","1996",1630,
"Gisborne district","30-34 years","Total people, ethnic group","Female","1996",1820,
"Wairoa district","30-34 years","Total people, ethnic group","Male","1996",360,
"Wairoa district","30-34 years","Total people, ethnic group","Female","1996",380,
"Hastings district","30-34 years","Total people, ethnic group","Male","1996",2340,
"Hastings district","30-34 years","Total people, ethnic group","Female","1996",2660,
"Napier city","30-34 years","Total people, ethnic group","Male","1996",1910,
"Napier city","30-34 years","Total people, ethnic group","Female","1996",2010,
"Central Hawke's Bay district","30-34 years","Total people, ethnic group","Male","1996",440,
"Central Hawke's Bay district","30-34 years","Total people, ethnic group","Female","1996",500,
"New Plymouth district","30-34 years","Total people, ethnic group","Male","1996",2570,
"New Plymouth district","30-34 years","Total people, ethnic group","Female","1996",2620,
"Stratford district","30-34 years","Total people, ethnic group","Male","1996",350,
"Stratford district","30-34 years","Total people, ethnic group","Female","1996",390,
"South Taranaki district","30-34 years","Total people, ethnic group","Male","1996",1190,
"South Taranaki district","30-34 years","Total people, ethnic group","Female","1996",1130,
"Ruapehu district","30-34 years","Total people, ethnic group","Male","1996",790,
"Ruapehu district","30-34 years","Total people, ethnic group","Female","1996",680,
"Wanganui district","30-34 years","Total people, ethnic group","Male","1996",1520,
"Wanganui district","30-34 years","Total people, ethnic group","Female","1996",1670,
"Rangitikei district","30-34 years","Total people, ethnic group","Male","1996",680,
"Rangitikei district","30-34 years","Total people, ethnic group","Female","1996",710,
"Manawatu district","30-34 years","Total people, ethnic group","Male","1996",990,
"Manawatu district","30-34 years","Total people, ethnic group","Female","1996",1090,
"Palmerston North city","30-34 years","Total people, ethnic group","Male","1996",3000,
"Palmerston North city","30-34 years","Total people, ethnic group","Female","1996",3030,
"Tararua district","30-34 years","Total people, ethnic group","Male","1996",730,
"Tararua district","30-34 years","Total people, ethnic group","Female","1996",760,
"Horowhenua district","30-34 years","Total people, ethnic group","Male","1996",960,
"Horowhenua district","30-34 years","Total people, ethnic group","Female","1996",1110,
"Kapiti Coast district","30-34 years","Total people, ethnic group","Male","1996",1180,
"Kapiti Coast district","30-34 years","Total people, ethnic group","Female","1996",1460,
"Porirua city","30-34 years","Total people, ethnic group","Male","1996",1920,
"Porirua city","30-34 years","Total people, ethnic group","Female","1996",2020,
"Upper Hutt city","30-34 years","Total people, ethnic group","Male","1996",1450,
"Upper Hutt city","30-34 years","Total people, ethnic group","Female","1996",1520,
"Lower Hutt city","30-34 years","Total people, ethnic group","Male","1996",4130,
"Lower Hutt city","30-34 years","Total people, ethnic group","Female","1996",4280,
"Wellington city","30-34 years","Total people, ethnic group","Male","1996",8360,
"Wellington city","30-34 years","Total people, ethnic group","Female","1996",8530,
"Masterton district","30-34 years","Total people, ethnic group","Male","1996",730,
"Masterton district","30-34 years","Total people, ethnic group","Female","1996",840,
"Carterton district","30-34 years","Total people, ethnic group","Male","1996",220,
"Carterton district","30-34 years","Total people, ethnic group","Female","1996",220,
"South Wairarapa district","30-34 years","Total people, ethnic group","Male","1996",300,
"South Wairarapa district","30-34 years","Total people, ethnic group","Female","1996",330,
"Tasman district","30-34 years","Total people, ethnic group","Male","1996",1390,
"Tasman district","30-34 years","Total people, ethnic group","Female","1996",1450,
"Nelson city","30-34 years","Total people, ethnic group","Male","1996",1640,
"Nelson city","30-34 years","Total people, ethnic group","Female","1996",1670,
"Marlborough district","30-34 years","Total people, ethnic group","Male","1996",1400,
"Marlborough district","30-34 years","Total people, ethnic group","Female","1996",1400,
"Kaikoura district","30-34 years","Total people, ethnic group","Male","1996",100,
"Kaikoura district","30-34 years","Total people, ethnic group","Female","1996",140,
"Buller district","30-34 years","Total people, ethnic group","Male","1996",410,
"Buller district","30-34 years","Total people, ethnic group","Female","1996",410,
"Grey district","30-34 years","Total people, ethnic group","Male","1996",540,
"Grey district","30-34 years","Total people, ethnic group","Female","1996",580,
"Westland district","30-34 years","Total people, ethnic group","Male","1996",340,
"Westland district","30-34 years","Total people, ethnic group","Female","1996",350,
"Hurunui district","30-34 years","Total people, ethnic group","Male","1996",370,
"Hurunui district","30-34 years","Total people, ethnic group","Female","1996",380,
"Waimakariri district","30-34 years","Total people, ethnic group","Male","1996",1300,
"Waimakariri district","30-34 years","Total people, ethnic group","Female","1996",1340,
"Christchurch city","30-34 years","Total people, ethnic group","Male","1996",12590,
"Christchurch city","30-34 years","Total people, ethnic group","Female","1996",13110,
"Selwyn district","30-34 years","Total people, ethnic group","Male","1996",1100,
"Selwyn district","30-34 years","Total people, ethnic group","Female","1996",1000,
"Ashburton district","30-34 years","Total people, ethnic group","Male","1996",970,
"Ashburton district","30-34 years","Total people, ethnic group","Female","1996",910,
"Timaru district","30-34 years","Total people, ethnic group","Male","1996",1460,
"Timaru district","30-34 years","Total people, ethnic group","Female","1996",1550,
"Mackenzie district","30-34 years","Total people, ethnic group","Male","1996",170,
"Mackenzie district","30-34 years","Total people, ethnic group","Female","1996",160,
"Waimate district","30-34 years","Total people, ethnic group","Male","1996",270,
"Waimate district","30-34 years","Total people, ethnic group","Female","1996",250,
"Chatham Islands territory","30-34 years","Total people, ethnic group","Male","1996",35,
"Chatham Islands territory","30-34 years","Total people, ethnic group","Female","1996",30,
"Waitaki district","30-34 years","Total people, ethnic group","Male","1996",740,
"Waitaki district","30-34 years","Total people, ethnic group","Female","1996",750,
"Central Otago district","30-34 years","Total people, ethnic group","Male","1996",480,
"Central Otago district","30-34 years","Total people, ethnic group","Female","1996",570,
"Queenstown-Lakes district","30-34 years","Total people, ethnic group","Male","1996",800,
"Queenstown-Lakes district","30-34 years","Total people, ethnic group","Female","1996",750,
"Dunedin city","30-34 years","Total people, ethnic group","Male","1996",4330,
"Dunedin city","30-34 years","Total people, ethnic group","Female","1996",4530,
"Clutha district","30-34 years","Total people, ethnic group","Male","1996",760,
"Clutha district","30-34 years","Total people, ethnic group","Female","1996",700,
"Southland district","30-34 years","Total people, ethnic group","Male","1996",1300,
"Southland district","30-34 years","Total people, ethnic group","Female","1996",1240,
"Gore district","30-34 years","Total people, ethnic group","Male","1996",540,
"Gore district","30-34 years","Total people, ethnic group","Female","1996",530,
"Invercargill city","30-34 years","Total people, ethnic group","Male","1996",2120,
"Invercargill city","30-34 years","Total people, ethnic group","Female","1996",2250,
"Area outside territorial authority","30-34 years","Total people, ethnic group","Male","1996",30,
"Area outside territorial authority","30-34 years","Total people, ethnic group","Female","1996",10,
"Far North district","35-39 years","Total people, ethnic group","Male","1996",2010,
"Far North district","35-39 years","Total people, ethnic group","Female","1996",2160,
"Whangarei district","35-39 years","Total people, ethnic group","Male","1996",2460,
"Whangarei district","35-39 years","Total people, ethnic group","Female","1996",2770,
"Kaipara district","35-39 years","Total people, ethnic group","Male","1996",630,
"Kaipara district","35-39 years","Total people, ethnic group","Female","1996",690,
"Auckland","35-39 years","Total people, ethnic group","Male","1996",44740,
"Auckland","35-39 years","Total people, ethnic group","Female","1996",46090,
"Thames-Coromandel district","35-39 years","Total people, ethnic group","Male","1996",800,
"Thames-Coromandel district","35-39 years","Total people, ethnic group","Female","1996",890,
"Hauraki district","35-39 years","Total people, ethnic group","Male","1996",770,
"Hauraki district","35-39 years","Total people, ethnic group","Female","1996",760,
"Waikato district","35-39 years","Total people, ethnic group","Male","1996",2110,
"Waikato district","35-39 years","Total people, ethnic group","Female","1996",2130,
"Matamata-Piako district","35-39 years","Total people, ethnic group","Male","1996",1220,
"Matamata-Piako district","35-39 years","Total people, ethnic group","Female","1996",1200,
"Hamilton city","35-39 years","Total people, ethnic group","Male","1996",3910,
"Hamilton city","35-39 years","Total people, ethnic group","Female","1996",4340,
"Waipa district","35-39 years","Total people, ethnic group","Male","1996",1620,
"Waipa district","35-39 years","Total people, ethnic group","Female","1996",1630,
"Otorohanga district","35-39 years","Total people, ethnic group","Male","1996",440,
"Otorohanga district","35-39 years","Total people, ethnic group","Female","1996",400,
"South Waikato district","35-39 years","Total people, ethnic group","Male","1996",960,
"South Waikato district","35-39 years","Total people, ethnic group","Female","1996",1000,
"Waitomo district","35-39 years","Total people, ethnic group","Male","1996",420,
"Waitomo district","35-39 years","Total people, ethnic group","Female","1996",400,
"Taupo district","35-39 years","Total people, ethnic group","Male","1996",1290,
"Taupo district","35-39 years","Total people, ethnic group","Female","1996",1260,
"Western Bay of Plenty district","35-39 years","Total people, ethnic group","Male","1996",1340,
"Western Bay of Plenty district","35-39 years","Total people, ethnic group","Female","1996",1410,
"Tauranga city","35-39 years","Total people, ethnic group","Male","1996",2760,
"Tauranga city","35-39 years","Total people, ethnic group","Female","1996",3030,
"Rotorua district","35-39 years","Total people, ethnic group","Male","1996",2550,
"Rotorua district","35-39 years","Total people, ethnic group","Female","1996",2700,
"Whakatane district","35-39 years","Total people, ethnic group","Male","1996",1350,
"Whakatane district","35-39 years","Total people, ethnic group","Female","1996",1350,
"Kawerau district","35-39 years","Total people, ethnic group","Male","1996",290,
"Kawerau district","35-39 years","Total people, ethnic group","Female","1996",310,
"Opotiki district","35-39 years","Total people, ethnic group","Male","1996",360,
"Opotiki district","35-39 years","Total people, ethnic group","Female","1996",380,
"Gisborne district","35-39 years","Total people, ethnic group","Male","1996",1800,
"Gisborne district","35-39 years","Total people, ethnic group","Female","1996",1920,
"Wairoa district","35-39 years","Total people, ethnic group","Male","1996",390,
"Wairoa district","35-39 years","Total people, ethnic group","Female","1996",420,
"Hastings district","35-39 years","Total people, ethnic group","Male","1996",2550,
"Hastings district","35-39 years","Total people, ethnic group","Female","1996",2660,
"Napier city","35-39 years","Total people, ethnic group","Male","1996",1970,
"Napier city","35-39 years","Total people, ethnic group","Female","1996",2070,
"Central Hawke's Bay district","35-39 years","Total people, ethnic group","Male","1996",560,
"Central Hawke's Bay district","35-39 years","Total people, ethnic group","Female","1996",540,
"New Plymouth district","35-39 years","Total people, ethnic group","Male","1996",2700,
"New Plymouth district","35-39 years","Total people, ethnic group","Female","1996",2950,
"Stratford district","35-39 years","Total people, ethnic group","Male","1996",390,
"Stratford district","35-39 years","Total people, ethnic group","Female","1996",380,
"South Taranaki district","35-39 years","Total people, ethnic group","Male","1996",1090,
"South Taranaki district","35-39 years","Total people, ethnic group","Female","1996",1150,
"Ruapehu district","35-39 years","Total people, ethnic group","Male","1996",770,
"Ruapehu district","35-39 years","Total people, ethnic group","Female","1996",730,
"Wanganui district","35-39 years","Total people, ethnic group","Male","1996",1640,
"Wanganui district","35-39 years","Total people, ethnic group","Female","1996",1820,
"Rangitikei district","35-39 years","Total people, ethnic group","Male","1996",720,
"Rangitikei district","35-39 years","Total people, ethnic group","Female","1996",670,
"Manawatu district","35-39 years","Total people, ethnic group","Male","1996",1070,
"Manawatu district","35-39 years","Total people, ethnic group","Female","1996",1100,
"Palmerston North city","35-39 years","Total people, ethnic group","Male","1996",2720,
"Palmerston North city","35-39 years","Total people, ethnic group","Female","1996",2840,
"Tararua district","35-39 years","Total people, ethnic group","Male","1996",810,
"Tararua district","35-39 years","Total people, ethnic group","Female","1996",760,
"Horowhenua district","35-39 years","Total people, ethnic group","Male","1996",1110,
"Horowhenua district","35-39 years","Total people, ethnic group","Female","1996",1120,
"Kapiti Coast district","35-39 years","Total people, ethnic group","Male","1996",1280,
"Kapiti Coast district","35-39 years","Total people, ethnic group","Female","1996",1420,
"Porirua city","35-39 years","Total people, ethnic group","Male","1996",1810,
"Porirua city","35-39 years","Total people, ethnic group","Female","1996",2030,
"Upper Hutt city","35-39 years","Total people, ethnic group","Male","1996",1620,
"Upper Hutt city","35-39 years","Total people, ethnic group","Female","1996",1490,
"Lower Hutt city","35-39 years","Total people, ethnic group","Male","1996",4030,
"Lower Hutt city","35-39 years","Total people, ethnic group","Female","1996",4060,
"Wellington city","35-39 years","Total people, ethnic group","Male","1996",7120,
"Wellington city","35-39 years","Total people, ethnic group","Female","1996",7130,
"Masterton district","35-39 years","Total people, ethnic group","Male","1996",830,
"Masterton district","35-39 years","Total people, ethnic group","Female","1996",930,
"Carterton district","35-39 years","Total people, ethnic group","Male","1996",230,
"Carterton district","35-39 years","Total people, ethnic group","Female","1996",290,
"South Wairarapa district","35-39 years","Total people, ethnic group","Male","1996",350,
"South Wairarapa district","35-39 years","Total people, ethnic group","Female","1996",350,
"Tasman district","35-39 years","Total people, ethnic group","Male","1996",1580,
"Tasman district","35-39 years","Total people, ethnic group","Female","1996",1630,
"Nelson city","35-39 years","Total people, ethnic group","Male","1996",1570,
"Nelson city","35-39 years","Total people, ethnic group","Female","1996",1670,
"Marlborough district","35-39 years","Total people, ethnic group","Male","1996",1540,
"Marlborough district","35-39 years","Total people, ethnic group","Female","1996",1560,
"Kaikoura district","35-39 years","Total people, ethnic group","Male","1996",170,
"Kaikoura district","35-39 years","Total people, ethnic group","Female","1996",120,
"Buller district","35-39 years","Total people, ethnic group","Male","1996",450,
"Buller district","35-39 years","Total people, ethnic group","Female","1996",430,
"Grey district","35-39 years","Total people, ethnic group","Male","1996",590,
"Grey district","35-39 years","Total people, ethnic group","Female","1996",590,
"Westland district","35-39 years","Total people, ethnic group","Male","1996",390,
"Westland district","35-39 years","Total people, ethnic group","Female","1996",330,
"Hurunui district","35-39 years","Total people, ethnic group","Male","1996",420,
"Hurunui district","35-39 years","Total people, ethnic group","Female","1996",410,
"Waimakariri district","35-39 years","Total people, ethnic group","Male","1996",1350,
"Waimakariri district","35-39 years","Total people, ethnic group","Female","1996",1410,
"Christchurch city","35-39 years","Total people, ethnic group","Male","1996",12430,
"Christchurch city","35-39 years","Total people, ethnic group","Female","1996",12660,
"Selwyn district","35-39 years","Total people, ethnic group","Male","1996",1190,
"Selwyn district","35-39 years","Total people, ethnic group","Female","1996",1090,
"Ashburton district","35-39 years","Total people, ethnic group","Male","1996",940,
"Ashburton district","35-39 years","Total people, ethnic group","Female","1996",970,
"Timaru district","35-39 years","Total people, ethnic group","Male","1996",1620,
"Timaru district","35-39 years","Total people, ethnic group","Female","1996",1690,
"Mackenzie district","35-39 years","Total people, ethnic group","Male","1996",170,
"Mackenzie district","35-39 years","Total people, ethnic group","Female","1996",180,
"Waimate district","35-39 years","Total people, ethnic group","Male","1996",280,
"Waimate district","35-39 years","Total people, ethnic group","Female","1996",300,
"Chatham Islands territory","35-39 years","Total people, ethnic group","Male","1996",25,
"Chatham Islands territory","35-39 years","Total people, ethnic group","Female","1996",35,
"Waitaki district","35-39 years","Total people, ethnic group","Male","1996",800,
"Waitaki district","35-39 years","Total people, ethnic group","Female","1996",880,
"Central Otago district","35-39 years","Total people, ethnic group","Male","1996",590,
"Central Otago district","35-39 years","Total people, ethnic group","Female","1996",570,
"Queenstown-Lakes district","35-39 years","Total people, ethnic group","Male","1996",730,
"Queenstown-Lakes district","35-39 years","Total people, ethnic group","Female","1996",660,
"Dunedin city","35-39 years","Total people, ethnic group","Male","1996",4360,
"Dunedin city","35-39 years","Total people, ethnic group","Female","1996",4520,
"Clutha district","35-39 years","Total people, ethnic group","Male","1996",790,
"Clutha district","35-39 years","Total people, ethnic group","Female","1996",740,
"Southland district","35-39 years","Total people, ethnic group","Male","1996",1300,
"Southland district","35-39 years","Total people, ethnic group","Female","1996",1310,
"Gore district","35-39 years","Total people, ethnic group","Male","1996",570,
"Gore district","35-39 years","Total people, ethnic group","Female","1996",530,
"Invercargill city","35-39 years","Total people, ethnic group","Male","1996",2150,
"Invercargill city","35-39 years","Total people, ethnic group","Female","1996",2230,
"Area outside territorial authority","35-39 years","Total people, ethnic group","Male","1996",25,
"Area outside territorial authority","35-39 years","Total people, ethnic group","Female","1996",5,
"Far North district","40-44 years","Total people, ethnic group","Male","1996",1890,
"Far North district","40-44 years","Total people, ethnic group","Female","1996",1880,
"Whangarei district","40-44 years","Total people, ethnic group","Male","1996",2430,
"Whangarei district","40-44 years","Total people, ethnic group","Female","1996",2410,
"Kaipara district","40-44 years","Total people, ethnic group","Male","1996",650,
"Kaipara district","40-44 years","Total people, ethnic group","Female","1996",620,
"Auckland","40-44 years","Total people, ethnic group","Male","1996",39160,
"Auckland","40-44 years","Total people, ethnic group","Female","1996",41170,
"Thames-Coromandel district","40-44 years","Total people, ethnic group","Male","1996",900,
"Thames-Coromandel district","40-44 years","Total people, ethnic group","Female","1996",850,
"Hauraki district","40-44 years","Total people, ethnic group","Male","1996",660,
"Hauraki district","40-44 years","Total people, ethnic group","Female","1996",660,
"Waikato district","40-44 years","Total people, ethnic group","Male","1996",1910,
"Waikato district","40-44 years","Total people, ethnic group","Female","1996",1870,
"Matamata-Piako district","40-44 years","Total people, ethnic group","Male","1996",1050,
"Matamata-Piako district","40-44 years","Total people, ethnic group","Female","1996",1000,
"Hamilton city","40-44 years","Total people, ethnic group","Male","1996",3540,
"Hamilton city","40-44 years","Total people, ethnic group","Female","1996",3970,
"Waipa district","40-44 years","Total people, ethnic group","Male","1996",1390,
"Waipa district","40-44 years","Total people, ethnic group","Female","1996",1400,
"Otorohanga district","40-44 years","Total people, ethnic group","Male","1996",400,
"Otorohanga district","40-44 years","Total people, ethnic group","Female","1996",300,
"South Waikato district","40-44 years","Total people, ethnic group","Male","1996",850,
"South Waikato district","40-44 years","Total people, ethnic group","Female","1996",840,
"Waitomo district","40-44 years","Total people, ethnic group","Male","1996",330,
"Waitomo district","40-44 years","Total people, ethnic group","Female","1996",340,
"Taupo district","40-44 years","Total people, ethnic group","Male","1996",1140,
"Taupo district","40-44 years","Total people, ethnic group","Female","1996",1070,
"Western Bay of Plenty district","40-44 years","Total people, ethnic group","Male","1996",1320,
"Western Bay of Plenty district","40-44 years","Total people, ethnic group","Female","1996",1290,
"Tauranga city","40-44 years","Total people, ethnic group","Male","1996",2640,
"Tauranga city","40-44 years","Total people, ethnic group","Female","1996",2830,
"Rotorua district","40-44 years","Total people, ethnic group","Male","1996",2170,
"Rotorua district","40-44 years","Total people, ethnic group","Female","1996",2340,
"Whakatane district","40-44 years","Total people, ethnic group","Male","1996",1170,
"Whakatane district","40-44 years","Total people, ethnic group","Female","1996",1150,
"Kawerau district","40-44 years","Total people, ethnic group","Male","1996",260,
"Kawerau district","40-44 years","Total people, ethnic group","Female","1996",240,
"Opotiki district","40-44 years","Total people, ethnic group","Male","1996",300,
"Opotiki district","40-44 years","Total people, ethnic group","Female","1996",310,
"Gisborne district","40-44 years","Total people, ethnic group","Male","1996",1700,
"Gisborne district","40-44 years","Total people, ethnic group","Female","1996",1660,
"Wairoa district","40-44 years","Total people, ethnic group","Male","1996",330,
"Wairoa district","40-44 years","Total people, ethnic group","Female","1996",340,
"Hastings district","40-44 years","Total people, ethnic group","Male","1996",2320,
"Hastings district","40-44 years","Total people, ethnic group","Female","1996",2470,
"Napier city","40-44 years","Total people, ethnic group","Male","1996",1740,
"Napier city","40-44 years","Total people, ethnic group","Female","1996",1950,
"Central Hawke's Bay district","40-44 years","Total people, ethnic group","Male","1996",510,
"Central Hawke's Bay district","40-44 years","Total people, ethnic group","Female","1996",540,
"New Plymouth district","40-44 years","Total people, ethnic group","Male","1996",2510,
"New Plymouth district","40-44 years","Total people, ethnic group","Female","1996",2550,
"Stratford district","40-44 years","Total people, ethnic group","Male","1996",330,
"Stratford district","40-44 years","Total people, ethnic group","Female","1996",300,
"South Taranaki district","40-44 years","Total people, ethnic group","Male","1996",1090,
"South Taranaki district","40-44 years","Total people, ethnic group","Female","1996",940,
"Ruapehu district","40-44 years","Total people, ethnic group","Male","1996",600,
"Ruapehu district","40-44 years","Total people, ethnic group","Female","1996",520,
"Wanganui district","40-44 years","Total people, ethnic group","Male","1996",1570,
"Wanganui district","40-44 years","Total people, ethnic group","Female","1996",1620,
"Rangitikei district","40-44 years","Total people, ethnic group","Male","1996",550,
"Rangitikei district","40-44 years","Total people, ethnic group","Female","1996",520,
"Manawatu district","40-44 years","Total people, ethnic group","Male","1996",1000,
"Manawatu district","40-44 years","Total people, ethnic group","Female","1996",990,
"Palmerston North city","40-44 years","Total people, ethnic group","Male","1996",2300,
"Palmerston North city","40-44 years","Total people, ethnic group","Female","1996",2510,
"Tararua district","40-44 years","Total people, ethnic group","Male","1996",710,
"Tararua district","40-44 years","Total people, ethnic group","Female","1996",720,
"Horowhenua district","40-44 years","Total people, ethnic group","Male","1996",930,
"Horowhenua district","40-44 years","Total people, ethnic group","Female","1996",980,
"Kapiti Coast district","40-44 years","Total people, ethnic group","Male","1996",1280,
"Kapiti Coast district","40-44 years","Total people, ethnic group","Female","1996",1300,
"Porirua city","40-44 years","Total people, ethnic group","Male","1996",1690,
"Porirua city","40-44 years","Total people, ethnic group","Female","1996",1730,
"Upper Hutt city","40-44 years","Total people, ethnic group","Male","1996",1310,
"Upper Hutt city","40-44 years","Total people, ethnic group","Female","1996",1340,
"Lower Hutt city","40-44 years","Total people, ethnic group","Male","1996",3410,
"Lower Hutt city","40-44 years","Total people, ethnic group","Female","1996",3420,
"Wellington city","40-44 years","Total people, ethnic group","Male","1996",5840,
"Wellington city","40-44 years","Total people, ethnic group","Female","1996",6110,
"Masterton district","40-44 years","Total people, ethnic group","Male","1996",890,
"Masterton district","40-44 years","Total people, ethnic group","Female","1996",870,
"Carterton district","40-44 years","Total people, ethnic group","Male","1996",300,
"Carterton district","40-44 years","Total people, ethnic group","Female","1996",280,
"South Wairarapa district","40-44 years","Total people, ethnic group","Male","1996",300,
"South Wairarapa district","40-44 years","Total people, ethnic group","Female","1996",340,
"Tasman district","40-44 years","Total people, ethnic group","Male","1996",1510,
"Tasman district","40-44 years","Total people, ethnic group","Female","1996",1450,
"Nelson city","40-44 years","Total people, ethnic group","Male","1996",1480,
"Nelson city","40-44 years","Total people, ethnic group","Female","1996",1600,
"Marlborough district","40-44 years","Total people, ethnic group","Male","1996",1400,
"Marlborough district","40-44 years","Total people, ethnic group","Female","1996",1380,
"Kaikoura district","40-44 years","Total people, ethnic group","Male","1996",130,
"Kaikoura district","40-44 years","Total people, ethnic group","Female","1996",140,
"Buller district","40-44 years","Total people, ethnic group","Male","1996",450,
"Buller district","40-44 years","Total people, ethnic group","Female","1996",350,
"Grey district","40-44 years","Total people, ethnic group","Male","1996",540,
"Grey district","40-44 years","Total people, ethnic group","Female","1996",480,
"Westland district","40-44 years","Total people, ethnic group","Male","1996",320,
"Westland district","40-44 years","Total people, ethnic group","Female","1996",290,
"Hurunui district","40-44 years","Total people, ethnic group","Male","1996",390,
"Hurunui district","40-44 years","Total people, ethnic group","Female","1996",370,
"Waimakariri district","40-44 years","Total people, ethnic group","Male","1996",1330,
"Waimakariri district","40-44 years","Total people, ethnic group","Female","1996",1270,
"Christchurch city","40-44 years","Total people, ethnic group","Male","1996",11230,
"Christchurch city","40-44 years","Total people, ethnic group","Female","1996",11710,
"Selwyn district","40-44 years","Total people, ethnic group","Male","1996",1030,
"Selwyn district","40-44 years","Total people, ethnic group","Female","1996",940,
"Ashburton district","40-44 years","Total people, ethnic group","Male","1996",1010,
"Ashburton district","40-44 years","Total people, ethnic group","Female","1996",950,
"Timaru district","40-44 years","Total people, ethnic group","Male","1996",1610,
"Timaru district","40-44 years","Total people, ethnic group","Female","1996",1530,
"Mackenzie district","40-44 years","Total people, ethnic group","Male","1996",170,
"Mackenzie district","40-44 years","Total people, ethnic group","Female","1996",150,
"Waimate district","40-44 years","Total people, ethnic group","Male","1996",290,
"Waimate district","40-44 years","Total people, ethnic group","Female","1996",290,
