contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2 Deaths (numbers): area of usual residence, by age and sex, 2014 registrations,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England and Wales
"England and Wales, England, regions, unitary authorities/counties/districts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area of usual residence,All Ages,,Under 1,, 1 ­ 4,,5­9,, 10-14,,15-19,,20-24,,25-29,,30-34,,35-39,,40-44,,45-49,,50-54,,55-59,,60-64,,65-69,,70-74,,75-79,,80-84,,85-89,,90 and over,
,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females,Males,Females
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND AND WALES1       ,"245,142","256,282","1,460","1,229",271,198,162,130,173,119,536,293,959,413,"1,196",558,"1,523",861,"2,017","1,198","3,282","2,125","5,108","3,286","7,076","4,856","9,689","6,501","14,289","9,677","21,901","14,938","26,311","19,268","34,589","27,917","41,831","41,029","40,126","50,909","32,643","70,777"
Cheshire West and Chester       ,"1,532","1,695",8,7,1,1,0,0,1,0,4,1,7,1,9,2,5,7,14,11,13,18,25,11,47,30,67,38,80,52,119,84,169,153,234,187,274,289,251,355,204,448
Halton                          ,592,592,3,0,1,0,0,1,0,1,1,0,0,1,1,1,8,2,7,5,9,4,16,9,18,18,35,16,48,34,51,38,77,70,91,67,101,83,86,119,39,123
Warrington                      ,912,972,4,7,1,0,0,0,0,0,2,0,3,1,4,2,7,4,10,4,13,11,19,13,31,20,33,32,47,42,73,60,117,79,147,117,161,154,142,194,98,232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbria                           ,"2,651","2,676",12,9,1,2,0,1,2,1,6,3,12,2,10,8,21,7,27,8,37,14,50,31,63,42,93,74,152,81,237,167,282,209,396,333,474,443,432,545,344,696
Allerdale                         ,528,572,4,1,0,1,0,0,1,0,2,2,2,0,1,2,5,0,10,1,5,2,9,7,12,8,27,17,37,16,40,36,46,39,73,72,97,114,92,116,65,138
Barrow-in-Furness                 ,385,370,3,2,0,1,0,0,0,0,1,0,3,2,1,1,3,1,3,2,11,4,10,5,14,7,7,14,24,10,38,28,60,34,58,45,69,60,44,63,36,91
Carlisle                          ,546,525,2,1,0,0,0,0,0,0,1,0,1,0,2,3,7,3,6,2,9,1,11,4,16,7,17,19,23,19,54,38,55,39,63,68,96,83,104,106,79,132
Copeland                          ,371,371,1,1,0,0,0,0,0,1,1,0,2,0,2,1,3,1,1,0,5,2,8,8,7,8,12,10,19,12,32,27,44,29,75,55,77,62,51,77,31,77
Eden                              ,245,240,0,1,1,0,0,0,1,0,0,0,2,0,3,0,2,1,1,3,4,1,5,4,2,3,8,6,11,5,29,11,23,19,37,40,41,38,41,47,34,61
South Lakeland                    ,576,598,2,3,0,0,0,1,0,0,1,1,2,0,1,1,1,1,6,0,3,4,7,3,12,9,22,8,38,19,44,27,54,49,90,53,94,86,100,136,99,197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Manchester (Met county)   ,"11,772","12,048",89,75,12,8,5,11,12,11,32,11,56,17,54,30,77,44,109,80,195,128,339,181,398,271,559,355,821,524,"1,140",839,"1,374","1,023","1,746","1,527","1,912","2,032","1,630","2,100","1,212","2,781"
Bolton                            ,"1,180","1,289",6,7,0,1,1,1,1,1,2,1,5,2,5,5,8,6,10,7,17,16,26,21,43,22,51,36,64,66,128,90,148,110,194,159,197,192,160,254,114,292
Bury                              ,881,867,6,5,1,0,1,1,1,0,1,0,11,0,3,0,5,2,8,12,21,9,22,15,21,26,36,20,64,30,88,48,103,65,112,104,144,141,129,169,104,220
Manchester                        ,"1,826","1,753",23,24,2,0,0,3,0,4,5,4,10,4,11,9,15,10,22,13,46,26,69,25,70,50,105,69,124,95,187,134,220,148,251,216,294,299,216,264,156,356
Oldham                            ,"1,061","1,155",9,12,1,3,1,1,2,1,6,1,6,0,6,2,8,4,11,9,8,11,34,18,41,27,61,32,82,54,96,90,121,109,170,139,154,190,139,181,105,271
Rochdale                          ,"1,000",992,6,7,2,0,1,1,3,0,4,1,4,2,5,2,6,6,9,10,12,17,40,14,37,32,58,34,67,42,93,71,118,88,153,128,156,171,128,155,98,211
Salford                           ,"1,071","1,075",10,5,2,0,0,0,2,0,2,0,5,3,4,4,10,6,14,7,16,5,26,19,37,25,49,30,89,45,101,72,118,105,162,142,157,154,149,207,118,246
Stockport                         ,"1,272","1,411",10,4,1,0,0,1,0,0,2,2,3,0,3,2,4,3,8,7,17,6,34,18,36,24,43,34,85,56,113,73,142,103,165,155,235,246,218,295,153,382
Tameside                          ,"1,039","1,081",6,4,0,0,0,1,0,1,2,0,3,1,7,1,6,6,9,3,16,14,24,16,42,26,45,31,78,39,117,91,120,82,141,144,179,199,134,176,110,246
Trafford                          ,930,983,6,5,3,3,0,1,1,0,5,1,3,1,2,2,6,1,6,5,10,9,16,16,22,17,39,18,61,40,65,53,89,70,138,125,159,177,163,166,136,273
Wigan                             ,"1,512","1,442",7,2,0,1,1,1,2,4,3,1,6,4,8,3,9,0,12,7,32,15,48,19,49,22,72,51,107,57,152,117,195,143,260,215,237,263,194,233,118,284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancashire                        ,"5,888","6,116",30,21,6,7,6,3,4,6,11,13,19,6,23,13,29,16,45,26,84,44,119,77,170,112,206,155,348,242,582,375,689,486,867,679,943,"1,027",973,"1,193",734,"1,615"
Burnley                           ,418,493,3,2,2,1,0,1,0,0,2,1,1,2,0,1,4,1,4,4,7,7,11,3,14,11,16,15,21,30,51,32,48,37,76,69,52,76,63,88,43,112
Chorley                           ,524,520,6,3,0,0,0,0,0,0,4,1,0,0,1,1,2,1,5,2,6,3,17,13,22,9,17,13,31,21,52,36,72,52,72,45,76,85,79,101,62,134
Fylde                             ,487,532,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,7,6,9,5,11,5,11,10,28,8,39,24,54,31,69,49,78,109,96,103,82,180
Hyndburn                          ,410,402,4,3,0,2,0,0,1,1,0,2,2,0,1,0,1,3,5,0,13,2,13,9,10,8,18,15,29,13,46,19,50,36,53,40,52,79,64,87,48,83
Lancaster                         ,696,785,1,2,0,1,1,0,1,1,0,0,3,2,1,1,6,2,7,3,9,2,17,9,21,11,31,17,42,31,64,50,67,59,95,98,129,129,107,160,94,207
Pendle                            ,439,434,4,3,0,2,0,1,1,2,1,2,5,1,2,2,2,1,3,2,7,2,9,5,20,8,14,14,29,20,46,33,52,29,56,41,75,65,67,84,46,117
Preston                           ,618,587,3,1,0,0,1,0,0,0,1,1,1,1,6,5,6,2,6,6,12,6,16,6,24,18,27,11,42,16,64,40,67,50,102,66,82,105,84,108,74,145
Ribble Valley                     ,280,328,0,3,1,0,0,0,0,0,0,1,1,0,1,2,0,2,0,0,4,2,1,3,14,4,7,10,13,12,23,15,26,20,44,25,46,53,56,67,43,109
Rossendale                        ,341,309,4,1,1,0,1,1,1,0,0,1,0,0,5,0,1,2,7,1,2,1,6,4,9,3,14,5,23,12,53,24,34,23,44,28,48,51,52,64,36,88
South Ribble                      ,465,474,4,2,1,0,1,0,0,1,1,0,3,0,1,1,3,0,3,4,1,5,6,6,7,7,22,11,24,23,40,33,57,54,70,52,85,69,80,86,56,120
West Lancashire                   ,514,561,1,1,1,1,1,0,0,0,1,2,1,0,2,0,3,1,0,2,7,4,6,5,10,15,13,15,26,24,50,34,69,41,73,79,102,91,94,118,54,128
Wyre                              ,696,691,0,0,0,0,1,0,0,0,1,2,2,0,1,0,1,1,4,1,9,4,8,9,8,13,16,19,40,32,54,35,93,54,113,87,118,115,131,127,96,192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merseyside (Met county)           ,"6,908","7,361",28,33,4,2,0,1,5,4,14,6,20,6,39,13,35,27,77,23,108,90,183,109,270,154,331,242,448,330,658,474,781,598,"1,034",882,"1,166","1,279",974,"1,456",733,"1,632"
Knowsley                          ,714,778,2,2,0,1,0,0,1,1,1,1,2,1,3,2,4,2,5,3,10,9,24,12,31,15,30,31,60,38,68,55,80,70,92,93,144,162,100,153,57,127
Liverpool                         ,"2,092","2,108",13,20,4,1,0,0,1,1,3,3,7,3,14,4,12,7,26,7,37,35,62,37,101,55,113,84,135,109,205,140,255,177,328,284,327,342,265,391,184,408
