"Country or Area","Year","Area","Sex","Age of mother","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Russian Federation","2011","Total","Female","25","Data tabulated by year of occurrence","Final figure, complete","2012","62977","1"
"Russian Federation","2011","Total","Female","26","Data tabulated by year of occurrence","Final figure, complete","2012","61734","1"
"Russian Federation","2011","Total","Female","27","Data tabulated by year of occurrence","Final figure, complete","2012","60527","1"
"Russian Federation","2011","Total","Female","28","Data tabulated by year of occurrence","Final figure, complete","2012","56985","1"
"Russian Federation","2011","Total","Female","29","Data tabulated by year of occurrence","Final figure, complete","2012","50318","1"
"Russian Federation","2011","Total","Female","30","Data tabulated by year of occurrence","Final figure, complete","2012","45814","1"
"Russian Federation","2011","Total","Female","31","Data tabulated by year of occurrence","Final figure, complete","2012","41592","1"
"Russian Federation","2011","Total","Female","32","Data tabulated by year of occurrence","Final figure, complete","2012","36768","1"
"Russian Federation","2011","Total","Female","33","Data tabulated by year of occurrence","Final figure, complete","2012","32029","1"
"Russian Federation","2011","Total","Female","34","Data tabulated by year of occurrence","Final figure, complete","2012","28163","1"
"Russian Federation","2011","Total","Female","35","Data tabulated by year of occurrence","Final figure, complete","2012","24161","1"
"Russian Federation","2011","Total","Female","36","Data tabulated by year of occurrence","Final figure, complete","2012","20047","1"
"Russian Federation","2011","Total","Female","37","Data tabulated by year of occurrence","Final figure, complete","2012","15625","1"
"Russian Federation","2011","Total","Female","38","Data tabulated by year of occurrence","Final figure, complete","2012","11867","1"
"Russian Federation","2011","Total","Female","39","Data tabulated by year of occurrence","Final figure, complete","2012","8832","1"
"Russian Federation","2011","Total","Female","40","Data tabulated by year of occurrence","Final figure, complete","2012","6250","1"
"Russian Federation","2011","Total","Female","41","Data tabulated by year of occurrence","Final figure, complete","2012","4084","1"
"Russian Federation","2011","Total","Female","42","Data tabulated by year of occurrence","Final figure, complete","2012","2507","1"
"Russian Federation","2011","Total","Female","43","Data tabulated by year of occurrence","Final figure, complete","2012","1455","1"
"Russian Federation","2011","Total","Female","44","Data tabulated by year of occurrence","Final figure, complete","2012","757","1"
"Russian Federation","2011","Total","Female","45","Data tabulated by year of occurrence","Final figure, complete","2012","365","1"
"Russian Federation","2011","Total","Female","46","Data tabulated by year of occurrence","Final figure, complete","2012","213","1"
