Area,Age,Ethnic group,Sex,Year at 30 June,Value,Flags
"Wellington region","25-29 years","Total people, ethnic group","Male","1996",17460,
"Wellington region","25-29 years","Total people, ethnic group","Female","1996",18530,
"Tasman region","25-29 years","Total people, ethnic group","Male","1996",1280,
"Tasman region","25-29 years","Total people, ethnic group","Female","1996",1240,
"Nelson region","25-29 years","Total people, ethnic group","Male","1996",1550,
"Nelson region","25-29 years","Total people, ethnic group","Female","1996",1520,
"Marlborough region","25-29 years","Total people, ethnic group","Male","1996",1310,
"Marlborough region","25-29 years","Total people, ethnic group","Female","1996",1300,
"West Coast region","25-29 years","Total people, ethnic group","Male","1996",1100,
"West Coast region","25-29 years","Total people, ethnic group","Female","1996",1140,
"Canterbury region","25-29 years","Total people, ethnic group","Male","1996",18300,
"Canterbury region","25-29 years","Total people, ethnic group","Female","1996",18250,
"Otago region","25-29 years","Total people, ethnic group","Male","1996",6700,
"Otago region","25-29 years","Total people, ethnic group","Female","1996",6850,
"Southland region","25-29 years","Total people, ethnic group","Male","1996",3340,
"Southland region","25-29 years","Total people, ethnic group","Female","1996",3440,
"Northland region","30-34 years","Total people, ethnic group","Male","1996",4820,
"Northland region","30-34 years","Total people, ethnic group","Female","1996",5350,
"Auckland region","30-34 years","Total people, ethnic group","Male","1996",48330,
"Auckland region","30-34 years","Total people, ethnic group","Female","1996",49980,
"Waikato region","30-34 years","Total people, ethnic group","Male","1996",13370,
"Waikato region","30-34 years","Total people, ethnic group","Female","1996",14050,
"Bay of Plenty region","30-34 years","Total people, ethnic group","Male","1996",8230,
"Bay of Plenty region","30-34 years","Total people, ethnic group","Female","1996",9090,
"Gisborne region","30-34 years","Total people, ethnic group","Male","1996",1640,
"Gisborne region","30-34 years","Total people, ethnic group","Female","1996",1820,
"Hawke's Bay region","30-34 years","Total people, ethnic group","Male","1996",5070,
"Hawke's Bay region","30-34 years","Total people, ethnic group","Female","1996",5550,
"Taranaki region","30-34 years","Total people, ethnic group","Male","1996",4100,
"Taranaki region","30-34 years","Total people, ethnic group","Female","1996",4140,
"Manawatu-Wanganui region","30-34 years","Total people, ethnic group","Male","1996",8680,
"Manawatu-Wanganui region","30-34 years","Total people, ethnic group","Female","1996",9050,
"Wellington region","30-34 years","Total people, ethnic group","Male","1996",18290,
"Wellington region","30-34 years","Total people, ethnic group","Female","1996",19200,
"Tasman region","30-34 years","Total people, ethnic group","Male","1996",1390,
"Tasman region","30-34 years","Total people, ethnic group","Female","1996",1450,
"Nelson region","30-34 years","Total people, ethnic group","Male","1996",1650,
"Nelson region","30-34 years","Total people, ethnic group","Female","1996",1680,
"Marlborough region","30-34 years","Total people, ethnic group","Male","1996",1400,
"Marlborough region","30-34 years","Total people, ethnic group","Female","1996",1400,
"West Coast region","30-34 years","Total people, ethnic group","Male","1996",1300,
"West Coast region","30-34 years","Total people, ethnic group","Female","1996",1350,
"Canterbury region","30-34 years","Total people, ethnic group","Male","1996",18410,
"Canterbury region","30-34 years","Total people, ethnic group","Female","1996",18910,
"Otago region","30-34 years","Total people, ethnic group","Male","1996",7040,
"Otago region","30-34 years","Total people, ethnic group","Female","1996",7220,
"Southland region","30-34 years","Total people, ethnic group","Male","1996",3960,
"Southland region","30-34 years","Total people, ethnic group","Female","1996",4030,
"Northland region","35-39 years","Total people, ethnic group","Male","1996",5090,
"Northland region","35-39 years","Total people, ethnic group","Female","1996",5620,
"Auckland region","35-39 years","Total people, ethnic group","Male","1996",44740,
"Auckland region","35-39 years","Total people, ethnic group","Female","1996",46090,
"Waikato region","35-39 years","Total people, ethnic group","Male","1996",13700,
"Waikato region","35-39 years","Total people, ethnic group","Female","1996",14170,
"Bay of Plenty region","35-39 years","Total people, ethnic group","Male","1996",8480,
"Bay of Plenty region","35-39 years","Total people, ethnic group","Female","1996",9030,
"Gisborne region","35-39 years","Total people, ethnic group","Male","1996",1800,
"Gisborne region","35-39 years","Total people, ethnic group","Female","1996",1920,
"Hawke's Bay region","35-39 years","Total people, ethnic group","Male","1996",5470,
"Hawke's Bay region","35-39 years","Total people, ethnic group","Female","1996",5710,
"Taranaki region","35-39 years","Total people, ethnic group","Male","1996",4160,
"Taranaki region","35-39 years","Total people, ethnic group","Female","1996",4460,
"Manawatu-Wanganui region","35-39 years","Total people, ethnic group","Male","1996",8860,
"Manawatu-Wanganui region","35-39 years","Total people, ethnic group","Female","1996",9050,
"Wellington region","35-39 years","Total people, ethnic group","Male","1996",17270,
"Wellington region","35-39 years","Total people, ethnic group","Female","1996",17710,
"Tasman region","35-39 years","Total people, ethnic group","Male","1996",1580,
"Tasman region","35-39 years","Total people, ethnic group","Female","1996",1630,
"Nelson region","35-39 years","Total people, ethnic group","Male","1996",1580,
"Nelson region","35-39 years","Total people, ethnic group","Female","1996",1670,
"Marlborough region","35-39 years","Total people, ethnic group","Male","1996",1540,
"Marlborough region","35-39 years","Total people, ethnic group","Female","1996",1560,
"West Coast region","35-39 years","Total people, ethnic group","Male","1996",1440,
"West Coast region","35-39 years","Total people, ethnic group","Female","1996",1350,
"Canterbury region","35-39 years","Total people, ethnic group","Male","1996",18640,
"Canterbury region","35-39 years","Total people, ethnic group","Female","1996",18890,
"Otago region","35-39 years","Total people, ethnic group","Male","1996",7190,
"Otago region","35-39 years","Total people, ethnic group","Female","1996",7300,
"Southland region","35-39 years","Total people, ethnic group","Male","1996",4020,
"Southland region","35-39 years","Total people, ethnic group","Female","1996",4060,
"Northland region","40-44 years","Total people, ethnic group","Male","1996",4970,
"Northland region","40-44 years","Total people, ethnic group","Female","1996",4920,
"Auckland region","40-44 years","Total people, ethnic group","Male","1996",39160,
"Auckland region","40-44 years","Total people, ethnic group","Female","1996",41170,
"Waikato region","40-44 years","Total people, ethnic group","Male","1996",12300,
"Waikato region","40-44 years","Total people, ethnic group","Female","1996",12390,
"Bay of Plenty region","40-44 years","Total people, ethnic group","Male","1996",7730,
"Bay of Plenty region","40-44 years","Total people, ethnic group","Female","1996",8060,
"Gisborne region","40-44 years","Total people, ethnic group","Male","1996",1700,
"Gisborne region","40-44 years","Total people, ethnic group","Female","1996",1660,
"Hawke's Bay region","40-44 years","Total people, ethnic group","Male","1996",4910,
"Hawke's Bay region","40-44 years","Total people, ethnic group","Female","1996",5300,
"Taranaki region","40-44 years","Total people, ethnic group","Male","1996",3920,
"Taranaki region","40-44 years","Total people, ethnic group","Female","1996",3790,
"Manawatu-Wanganui region","40-44 years","Total people, ethnic group","Male","1996",7670,
"Manawatu-Wanganui region","40-44 years","Total people, ethnic group","Female","1996",7870,
"Wellington region","40-44 years","Total people, ethnic group","Male","1996",15030,
"Wellington region","40-44 years","Total people, ethnic group","Female","1996",15380,
"Tasman region","40-44 years","Total people, ethnic group","Male","1996",1510,
"Tasman region","40-44 years","Total people, ethnic group","Female","1996",1450,
"Nelson region","40-44 years","Total people, ethnic group","Male","1996",1480,
"Nelson region","40-44 years","Total people, ethnic group","Female","1996",1600,
"Marlborough region","40-44 years","Total people, ethnic group","Male","1996",1400,
"Marlborough region","40-44 years","Total people, ethnic group","Female","1996",1380,
"West Coast region","40-44 years","Total people, ethnic group","Male","1996",1300,
"West Coast region","40-44 years","Total people, ethnic group","Female","1996",1120,
"Canterbury region","40-44 years","Total people, ethnic group","Male","1996",17260,
"Canterbury region","40-44 years","Total people, ethnic group","Female","1996",17430,
"Otago region","40-44 years","Total people, ethnic group","Male","1996",6600,
"Otago region","40-44 years","Total people, ethnic group","Female","1996",6480,
"Southland region","40-44 years","Total people, ethnic group","Male","1996",3730,
"Southland region","40-44 years","Total people, ethnic group","Female","1996",3500,
"Northland region","45-49 years","Total people, ethnic group","Male","1996",4640,
"Northland region","45-49 years","Total people, ethnic group","Female","1996",4600,
"Auckland region","45-49 years","Total people, ethnic group","Male","1996",37680,
"Auckland region","45-49 years","Total people, ethnic group","Female","1996",38270,
"Waikato region","45-49 years","Total people, ethnic group","Male","1996",11440,
"Waikato region","45-49 years","Total people, ethnic group","Female","1996",11410,
"Bay of Plenty region","45-49 years","Total people, ethnic group","Male","1996",7400,
"Bay of Plenty region","45-49 years","Total people, ethnic group","Female","1996",7420,
"Gisborne region","45-49 years","Total people, ethnic group","Male","1996",1490,
"Gisborne region","45-49 years","Total people, ethnic group","Female","1996",1380,
"Hawke's Bay region","45-49 years","Total people, ethnic group","Male","1996",5050,
"Hawke's Bay region","45-49 years","Total people, ethnic group","Female","1996",5110,
"Taranaki region","45-49 years","Total people, ethnic group","Male","1996",3620,
"Taranaki region","45-49 years","Total people, ethnic group","Female","1996",3490,
"Manawatu-Wanganui region","45-49 years","Total people, ethnic group","Male","1996",7110,
"Manawatu-Wanganui region","45-49 years","Total people, ethnic group","Female","1996",7150,
"Wellington region","45-49 years","Total people, ethnic group","Male","1996",14520,
"Wellington region","45-49 years","Total people, ethnic group","Female","1996",14330,
"Tasman region","45-49 years","Total people, ethnic group","Male","1996",1540,
"Tasman region","45-49 years","Total people, ethnic group","Female","1996",1450,
"Nelson region","45-49 years","Total people, ethnic group","Male","1996",1480,
"Nelson region","45-49 years","Total people, ethnic group","Female","1996",1440,
"Marlborough region","45-49 years","Total people, ethnic group","Male","1996",1350,
"Marlborough region","45-49 years","Total people, ethnic group","Female","1996",1340,
"West Coast region","45-49 years","Total people, ethnic group","Male","1996",1200,
"West Coast region","45-49 years","Total people, ethnic group","Female","1996",1090,
"Canterbury region","45-49 years","Total people, ethnic group","Male","1996",16710,
"Canterbury region","45-49 years","Total people, ethnic group","Female","1996",16610,
"Otago region","45-49 years","Total people, ethnic group","Male","1996",6250,
"Otago region","45-49 years","Total people, ethnic group","Female","1996",6190,
"Southland region","45-49 years","Total people, ethnic group","Male","1996",3480,
"Southland region","45-49 years","Total people, ethnic group","Female","1996",3160,
"Northland region","50-54 years","Total people, ethnic group","Male","1996",3760,
"Northland region","50-54 years","Total people, ethnic group","Female","1996",3840,
"Auckland region","50-54 years","Total people, ethnic group","Male","1996",28720,
"Auckland region","50-54 years","Total people, ethnic group","Female","1996",29010,
"Waikato region","50-54 years","Total people, ethnic group","Male","1996",9100,
"Waikato region","50-54 years","Total people, ethnic group","Female","1996",9080,
"Bay of Plenty region","50-54 years","Total people, ethnic group","Male","1996",6000,
"Bay of Plenty region","50-54 years","Total people, ethnic group","Female","1996",5970,
"Gisborne region","50-54 years","Total people, ethnic group","Male","1996",1080,
"Gisborne region","50-54 years","Total people, ethnic group","Female","1996",1100,
"Hawke's Bay region","50-54 years","Total people, ethnic group","Male","1996",3930,
"Hawke's Bay region","50-54 years","Total people, ethnic group","Female","1996",3800,
"Taranaki region","50-54 years","Total people, ethnic group","Male","1996",2800,
"Taranaki region","50-54 years","Total people, ethnic group","Female","1996",2710,
"Manawatu-Wanganui region","50-54 years","Total people, ethnic group","Male","1996",5590,
"Manawatu-Wanganui region","50-54 years","Total people, ethnic group","Female","1996",5650,
"Wellington region","50-54 years","Total people, ethnic group","Male","1996",11120,
"Wellington region","50-54 years","Total people, ethnic group","Female","1996",11040,
"Tasman region","50-54 years","Total people, ethnic group","Male","1996",1180,
"Tasman region","50-54 years","Total people, ethnic group","Female","1996",1080,
"Nelson region","50-54 years","Total people, ethnic group","Male","1996",1040,
"Nelson region","50-54 years","Total people, ethnic group","Female","1996",1070,
"Marlborough region","50-54 years","Total people, ethnic group","Male","1996",1170,
"Marlborough region","50-54 years","Total people, ethnic group","Female","1996",1180,
"West Coast region","50-54 years","Total people, ethnic group","Male","1996",970,
"West Coast region","50-54 years","Total people, ethnic group","Female","1996",920,
"Canterbury region","50-54 years","Total people, ethnic group","Male","1996",12800,
"Canterbury region","50-54 years","Total people, ethnic group","Female","1996",12640,
"Otago region","50-54 years","Total people, ethnic group","Male","1996",4740,
"Otago region","50-54 years","Total people, ethnic group","Female","1996",4650,
"Southland region","50-54 years","Total people, ethnic group","Male","1996",2700,
"Southland region","50-54 years","Total people, ethnic group","Female","1996",2430,
"Northland region","55-59 years","Total people, ethnic group","Male","1996",3630,
"Northland region","55-59 years","Total people, ethnic group","Female","1996",3490,
"Auckland region","55-59 years","Total people, ethnic group","Male","1996",23220,
"Auckland region","55-59 years","Total people, ethnic group","Female","1996",23230,
"Waikato region","55-59 years","Total people, ethnic group","Male","1996",7710,
"Waikato region","55-59 years","Total people, ethnic group","Female","1996",7840,
"Bay of Plenty region","55-59 years","Total people, ethnic group","Male","1996",5140,
"Bay of Plenty region","55-59 years","Total people, ethnic group","Female","1996",5610,
"Gisborne region","55-59 years","Total people, ethnic group","Male","1996",930,
"Gisborne region","55-59 years","Total people, ethnic group","Female","1996",970,
"Hawke's Bay region","55-59 years","Total people, ethnic group","Male","1996",3290,
"Hawke's Bay region","55-59 years","Total people, ethnic group","Female","1996",3410,
"Taranaki region","55-59 years","Total people, ethnic group","Male","1996",2400,
"Taranaki region","55-59 years","Total people, ethnic group","Female","1996",2450,
"Manawatu-Wanganui region","55-59 years","Total people, ethnic group","Male","1996",5000,
"Manawatu-Wanganui region","55-59 years","Total people, ethnic group","Female","1996",5120,
"Wellington region","55-59 years","Total people, ethnic group","Male","1996",9300,
"Wellington region","55-59 years","Total people, ethnic group","Female","1996",9310,
"Tasman region","55-59 years","Total people, ethnic group","Male","1996",920,
"Tasman region","55-59 years","Total people, ethnic group","Female","1996",890,
"Nelson region","55-59 years","Total people, ethnic group","Male","1996",930,
"Nelson region","55-59 years","Total people, ethnic group","Female","1996",930,
"Marlborough region","55-59 years","Total people, ethnic group","Male","1996",1070,
"Marlborough region","55-59 years","Total people, ethnic group","Female","1996",950,
"West Coast region","55-59 years","Total people, ethnic group","Male","1996",840,
"West Coast region","55-59 years","Total people, ethnic group","Female","1996",730,
"Canterbury region","55-59 years","Total people, ethnic group","Male","1996",10760,
"Canterbury region","55-59 years","Total people, ethnic group","Female","1996",11190,
"Otago region","55-59 years","Total people, ethnic group","Male","1996",4320,
"Otago region","55-59 years","Total people, ethnic group","Female","1996",4270,
"Southland region","55-59 years","Total people, ethnic group","Male","1996",2330,
"Southland region","55-59 years","Total people, ethnic group","Female","1996",2260,
"Northland region","60-64 years","Total people, ethnic group","Male","1996",3050,
"Northland region","60-64 years","Total people, ethnic group","Female","1996",2990,
"Auckland region","60-64 years","Total people, ethnic group","Male","1996",17880,
"Auckland region","60-64 years","Total people, ethnic group","Female","1996",18190,
"Waikato region","60-64 years","Total people, ethnic group","Male","1996",6690,
"Waikato region","60-64 years","Total people, ethnic group","Female","1996",6620,
"Bay of Plenty region","60-64 years","Total people, ethnic group","Male","1996",4700,
"Bay of Plenty region","60-64 years","Total people, ethnic group","Female","1996",4850,
"Gisborne region","60-64 years","Total people, ethnic group","Male","1996",890,
"Gisborne region","60-64 years","Total people, ethnic group","Female","1996",920,
"Hawke's Bay region","60-64 years","Total people, ethnic group","Male","1996",2800,
"Hawke's Bay region","60-64 years","Total people, ethnic group","Female","1996",2940,
"Taranaki region","60-64 years","Total people, ethnic group","Male","1996",2160,
"Taranaki region","60-64 years","Total people, ethnic group","Female","1996",2140,
"Manawatu-Wanganui region","60-64 years","Total people, ethnic group","Male","1996",4300,
"Manawatu-Wanganui region","60-64 years","Total people, ethnic group","Female","1996",4530,
"Wellington region","60-64 years","Total people, ethnic group","Male","1996",7690,
"Wellington region","60-64 years","Total people, ethnic group","Female","1996",7660,
"Tasman region","60-64 years","Total people, ethnic group","Male","1996",810,
"Tasman region","60-64 years","Total people, ethnic group","Female","1996",780,
"Nelson region","60-64 years","Total people, ethnic group","Male","1996",780,
"Nelson region","60-64 years","Total people, ethnic group","Female","1996",800,
"Marlborough region","60-64 years","Total people, ethnic group","Male","1996",900,
"Marlborough region","60-64 years","Total people, ethnic group","Female","1996",830,
